timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.567E+12,47,Open_index_page_105 /location/autodetect,200,OK,setUp Thread Group 1-1,text,TRUE,,780,379,3,3,https://www.rambler.ru/location/autodetect,47,0,40
1.567E+12,32,Open_index_page_105 /location/autodetect,200,OK,setUp Thread Group 1-2,text,TRUE,,780,379,3,3,https://www.rambler.ru/location/autodetect,32,0,22
1.567E+12,42,Open_index_page_105 /location/autodetect,200,OK,setUp Thread Group 1-3,text,TRUE,,780,379,4,4,https://www.rambler.ru/location/autodetect,42,0,30
1.567E+12,41,Open_index_page_105 /location/autodetect,200,OK,setUp Thread Group 1-4,text,TRUE,,780,379,5,5,https://www.rambler.ru/location/autodetect,41,0,35
1.567E+12,40,Open_index_page_105 /location/autodetect,200,OK,setUp Thread Group 1-5,text,TRUE,,780,379,5,5,https://www.rambler.ru/location/autodetect,40,0,28
1.567E+12,35,Open_index_page_116 /location/current,200,OK,setUp Thread Group 1-1,text,TRUE,,604,415,5,5,https://www.rambler.ru/location/current,35,0,29
1.567E+12,35,Open_index_page_116 /location/current,200,OK,setUp Thread Group 1-3,text,TRUE,,604,415,5,5,https://www.rambler.ru/location/current,35,0,29
1.567E+12,34,Open_index_page_116 /location/current,200,OK,setUp Thread Group 1-2,text,TRUE,,604,415,5,5,https://www.rambler.ru/location/current,34,0,28
1.567E+12,34,Open_index_page_116 /location/current,200,OK,setUp Thread Group 1-4,text,TRUE,,604,415,5,5,https://www.rambler.ru/location/current,34,0,29
1.567E+12,34,Open_index_page_116 /location/current,200,OK,setUp Thread Group 1-5,text,TRUE,,604,415,5,5,https://www.rambler.ru/location/current,34,0,27
1.567E+12,44,Open_index_page_106 /rhead/6132b5d2b2b189fe8d57d361ca55a4d5,200,OK,setUp Thread Group 1-2,bin,TRUE,,51515,593,5,5,https://store.rambler.ru/rhead/6132b5d2b2b189fe8d57d361ca55a4d5?img-format=jpeg%3Acomp%3A85%2Cprog%3Atrue&img-1-resize=width%3A600%2Cheight%3A350%2Cfit%3Acover&img-2-filter=sharpen,38,0,25
1.567E+12,34,Open_index_page_106 /rhead/6132b5d2b2b189fe8d57d361ca55a4d5,200,OK,setUp Thread Group 1-1,bin,TRUE,,51512,593,5,5,https://store.rambler.ru/rhead/6132b5d2b2b189fe8d57d361ca55a4d5?img-format=jpeg%3Acomp%3A85%2Cprog%3Atrue&img-1-resize=width%3A600%2Cheight%3A350%2Cfit%3Acover&img-2-filter=sharpen,27,0,19
1.567E+12,34,Open_index_page_106 /rhead/6132b5d2b2b189fe8d57d361ca55a4d5,200,OK,setUp Thread Group 1-3,bin,TRUE,,51514,593,5,5,https://store.rambler.ru/rhead/6132b5d2b2b189fe8d57d361ca55a4d5?img-format=jpeg%3Acomp%3A85%2Cprog%3Atrue&img-1-resize=width%3A600%2Cheight%3A350%2Cfit%3Acover&img-2-filter=sharpen,21,0,15
1.567E+12,29,Open_index_page_106 /rhead/6132b5d2b2b189fe8d57d361ca55a4d5,200,OK,setUp Thread Group 1-4,bin,TRUE,,51514,593,5,5,https://store.rambler.ru/rhead/6132b5d2b2b189fe8d57d361ca55a4d5?img-format=jpeg%3Acomp%3A85%2Cprog%3Atrue&img-1-resize=width%3A600%2Cheight%3A350%2Cfit%3Acover&img-2-filter=sharpen,22,0,14
1.567E+12,121,Open_index_page_106 /rhead/6132b5d2b2b189fe8d57d361ca55a4d5,200,OK,setUp Thread Group 1-5,bin,TRUE,,51514,593,5,5,https://store.rambler.ru/rhead/6132b5d2b2b189fe8d57d361ca55a4d5?img-format=jpeg%3Acomp%3A85%2Cprog%3Atrue&img-1-resize=width%3A600%2Cheight%3A350%2Cfit%3Acover&img-2-filter=sharpen,112,0,105
